Sample,App. Distance ,Fe ,Pb ,Cd ,TDS ,Zn,Cu ,Cr ,Cl
WF 01,21,0.283,0.002,0.009,288,0.001,0.002,0.001,75.331
WF 02,250,0.001,0.002,0.002,279,0.006,0.003,0.001,53.175
WF 03,42,0.004,0.001,0.003,268,0.001,0.001,0.001,39.881
WF 04,85,0.002,0.002,0.002,156,0.001,0.002,0.006,26.588
WF 05,50,0.223,0.002,0.002,169,0.001,0.001,0.001,44.313
GB 01,224,0.001,0.004,0.002,393,0.001,0.001,0.001,66.469
GB 02,25,1.054,0.002,0.038,84,0.006,0.004,0.001,13.294
GB 03,211,0.001,0.002,0.002,470,0.004,0.002,0.001,16.839
GB 04,219,0.001,0.004,0.001,508,0.002,0.002,0.001,17.725
GB 05,64,0.41,0.002,0.002,179,0.001,0.001,0.001,53.175
NY 01,20,0.002,0.001,0.111,281,0.001,0.001,0.001,44.313
KB 01,35,1.15,0.002,0.034,53,0.001,0.001,0.001,31.019
GBN 1,112,0.007,0.002,0.004,165,0.001,0.001,0.002,35.45
TG 1,80,0.069,0.002,0.001,313,0.001,0.001,0.002,62.038
WHO,,0.3,0.01,0.003,500,5,2,0.05,250
